mvp_hfr_id,official_hfr_id,hospital_name,source_record_id,address,latitude,longitude,source
HFR_MOCK_000048,,Balaji Hospital,60,"Opp:Tn Petrol Bunk Punganur Punganur, Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor, Andhra Pradesh - 517247",13.36592,78.5750141,data.gov.in
HFR_MOCK_000049,,Vijaya Nursing Home,61,"Gokul Theater Road Punganur Punganur, Gokul Theater Road Punganur Punganur 517247  Chittoor, Andhra Pradesh - 517247",13.36592,78.5750141,data.gov.in
HFR_MOCK_000050,,Balaji Multi Speciality Hospital,62,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle, Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor (), Andhra Pradesh - 517325",13.5508703,78.50597,data.gov.in
HFR_MOCK_000051,,Bhavya Child Care Center,63,"Near Rtc Bus Stand Chittoor Madanapalli, Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000052,,Bhavyas Children Hospital,64,"R T C Bus Stand Madanpalle, R T C Bus Stand Madanpalle -, Chittoor, Andhra Pradesh - 517325",13.5508703,78.50597,data.gov.in
HFR_MOCK_000053,,Chandra Mohan's Nursing Home,65,"14/2A Ctm Road Beside Icici Bank Madanapalli, 14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000054,,Desai Hospital,66,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle, Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325, Chittoor, Andhra Pradesh - 517325",13.5603491,78.5036065,data.gov.in
HFR_MOCK_000055,,Desai Hospital-Madanapalli,67,"No. 3-153-4-3-1, Near Rtc Bus Stand, No. 3-153-4-3-1, Near Rtc Bus Stand,, Chittoor, Andhra Pradesh - 517325",14.4656511,78.8330438,data.gov.in
HFR_MOCK_000056,,Emergency Hospital,68,"Near R.T.C.Busstand,C.T.M.Road, Near R.T.C.Busstand,C.T.M.Road., Chittoor, Andhra Pradesh - 517325",18.4328566,79.1303578,data.gov.in
HFR_MOCK_000057,,Gupta Nursing Home,69,"C.T.M.Road, ,C.T.M.Road., Chittoor, Andhra Pradesh - 517325",13.217176,79.1003289,data.gov.in
HFR_MOCK_000058,,Kathasagaram Hospitals,70,"# 15-37, Burma St, C.T.M. Road, 15-37, Burma St,,C.T.M. Road ., Chittoor, Andhra Pradesh - 517325",13.5529488,78.5086376,data.gov.in
