position_group,latitude,longitude,hospital_count,hospitals,states,districts
"26.898, 80.963",26.8983972,80.9629496,1,Kalindi Hospital And Diagnostic Centre,Jammu and Kashmir,Jammu
"26.907, 75.812",26.9069413,75.8122758,1,Ravi Nursing Home,Karnataka,Mandya
"26.981, 84.854",26.9808459,84.8540706,1,Aditya Arogya Sansthan,Bihar,East Champaran
"26.991, 84.851",26.9910294,84.8507594,1,The Duncan Hospital,Bihar,East Champaran
"26.995, 84.399",26.9948214,84.3988806,1,Ganpati Nursing Home,Bihar,West Champaran
"26.995, 84.404",26.9950297,84.4041343,1,Aapna Health Care Centre,Bihar,West Champaran
"27.056, 93.955",27.0563989,93.9546877,1,Bongalmora CHC,Assam,Lakhimpur
"27.07, 93.594",27.0702523,93.5944001,1,Ramakrishna Mission Hospital,Arunachal Pradesh,Lower Subansiri
"27.071, 68.613",27.0710253,68.6130146,1,Sanjeevani Hospital,Karnataka,Shivamogga
"27.106, 84.475",27.106337,84.4750137,1,Navajeen Clinic and Chest Care Centre,Bihar,West Champaran
"27.115, 80.148",27.1147181,80.1484407,1,Thakur Hospital,Madhya Pradesh,Gwalior
"27.154, 78.397",27.1537848,78.3968427,1,Gupta Nursing Home,Chhattisgarh,Durg
"27.182, 95.111",27.1821064,95.1106383,1,Rajgarh CHC,Assam,Dibrugarh
"27.19, 94.909",27.1896096,94.9092263,1,Life Care Nursing Home,Assam,Dibrugarh
"27.19, 94.918",27.1897238,94.9175686,1,Moran Medical Centre,Assam,Sivasagar
"27.251, 94.89",27.2513486,94.890005,1,Dhl Health Services,Assam,Sivasagar
"27.259, 84.018",27.2590444,84.0180642,1,Sweksha Nursing Home,Bihar,West Champaran
"27.299, 95.275",27.299143,95.274974,1,Sasoni CHC,Assam,Dibrugarh
"27.311, 94.457",27.3114122,94.456805,1,Dhakuakhona CHC,Assam,Lakhimpur
"27.4, 83.705",27.4004383,83.7053003,1,Rajmahal Lifecare Nursing Home,Bihar,Siwan
"27.472, 94.952",27.4720664,94.9519733,1,Assam Medical College and Hospital (AMCH),Assam,Dibrugarh
"27.473, 94.892",27.4731221,94.8923041,1,Drishti Netralaya,Assam,Dibrugarh
"27.48, 95.363",27.4796192,95.36284,1,St Lukes Hospital,Assam,Tinsukia
"27.489, 94.914",27.4885342,94.9139697,1,Astha Hospital Dibrugarh,Assam,Dibrugarh
"27.492, 95.362",27.4922723,95.361689,1,City Hospital And Research Centre,Assam,Tinsukia
"27.495, 95.369",27.4947049,95.3690926,1,Jeevan Jyoti Nursing Home,Assam,Tinsukia
"27.547, 68.209",27.5465804,68.2094456,1,Batra Clinic and Nursing Home,Madhya Pradesh,Chhindwara
"27.553, 76.635",27.5529907,76.6345735,1,New Wadhwa Nursing Home,Haryana,Mewat
"27.565, 77.659",27.5650088,77.6593394,1,Pushkar General Hospital,Madhya Pradesh,Bhopal
"27.644, 79.945",27.6441382,79.9447096,1,Community Health Centre,Haryana,Kurukshetra
"27.654, 76.885",27.6542858,76.8846014,1,Jain Hospital,Haryana,Gurgaon
"27.703, 85.311",27.7032289,85.3112169,1,Namdhari Hospital and Research Center,Jharkhand,Dhanbad
"27.787, 76.943",27.7870173,76.9426256,1,Shama Hospital,Haryana,Mewat
"27.787, 94.336",27.786802,94.3359635,1,District Hospital,Arunachal Pradesh,Upper Subansiri
"27.885, 78.071",27.8854345,78.071351,1,Ravi Janana Hospital,Haryana,Hisar
"27.895, 77.108",27.8947659,77.1082444,1,Bhawna Hospital,Haryana,Mewat
"27.896, 77.373",27.8964879,77.3726379,1,Kishan Singh Hospital,Haryana,Palwal
"27.961, 80.698",27.960742,80.6976478,1,Sanjeevan Nursing Home,Maharashtra,Solapur
"28.006, 77.398",28.0059774,77.3982525,1,Sanjivan Hospital,Haryana,Palwal
"28.011, 73.316",28.0113333,73.3159985,1,Maurya Nursing Home,Chhattisgarh,Durg
"28.011, 77.056",28.0106916,77.0564464,1,Shivam Hospital,Haryana,Mewat
"28.028, 79.127",28.0277448,79.1274036,1,"Mandya Medical Institute Of Science, Mandya",Karnataka,Mandya
